country,technology,carrier,year,value,unit
XY,BIOT,Bio,2025,103.55,Million usd
YZ,BIOT,Bio,2025,2.22,Million usd
XY,CCGT,Gas,2025,591.8,Million usd
YZ,CCGT,Gas,2025,147.9,Million usd
XY,EDLH,Electricity,2025,64.78,Million usd
YZ,EDLH,Electricity,2025,64.78,Million usd
YZ,EERH,Electricity,2025,88.8,Million usd
XY,EHPP,Electricity,2025,8.0,Million usd
YZ,EHPP,Electricity,2025,14.5,Million usd
XY,EIDT,Electricity,2025,13.32,Million usd
YZ,EIDT,Electricity,2025,13.32,Million usd
XY,HDAM,Water,2025,100.0,Million usd
XY,IND_BOILER,Bio,2025,407.5,Million usd
YZ,IND_BOILER,Bio,2025,407.5,Million usd
XY,IND_BOILER,Gas,2025,437.0,Million usd
YZ,IND_BOILER,Gas,2025,462.0,Million usd
XY,IND_BOILER,Hrdc,2025,343.0,Million usd
YZ,IND_BOILER,Hrdc,2025,343.0,Million usd
XY,IND_BOILER,Oil,2025,315.0,Million usd
YZ,IND_BOILER,Oil,2025,315.0,Million usd
XY,NUCL,Uranium,2025,203.45,Million usd
YZ,OCGT,Gas,2025,69.92,Million usd
XY,OILT,Oil,2025,2.52,Million usd
YZ,OILT,Oil,2025,4.0,Million usd
XY,PHOT,Solar,2025,27.0,Million usd
YZ,PHOT,Solar,2025,15.48,Million usd
XY,RTPV,Solar,2025,5.08,Million usd
YZ,RTPV,Solar,2025,5.07,Million usd
XY,SubC,Hrdc,2025,129.2,Million usd
YZ,SubC,Hrdc,2025,249.6,Million usd
XY,SubC,Lig,2025,91.2,Million usd
YZ,SubC,Lig,2025,97.5,Million usd
YZ,SupC,Hrdc,2025,252.0,Million usd
XY,WSTT,Waste,2025,2.25,Million usd
XY,WTON,Wind,2025,4.6,Million usd
YZ,WTON,Wind,2025,21.3,Million usd
XY,BIOT,Bio,2030,103.55,Million usd
YZ,BIOT,Bio,2030,2.22,Million usd
XY,CCGT,Gas,2030,497.2,Million usd
YZ,CCGT,Gas,2030,147.9,Million usd
XY,EDLH,Electricity,2030,64.78,Million usd
YZ,EDLH,Electricity,2030,64.78,Million usd
YZ,EERH,Electricity,2030,88.8,Million usd
XY,EHPP,Electricity,2030,14.0,Million usd
YZ,EHPP,Electricity,2030,78.58,Million usd
XY,EIDT,Electricity,2030,141.59,Million usd
YZ,EIDT,Electricity,2030,63.08,Million usd
XY,HDAM,Water,2030,100.0,Million usd
YZ,HROR,Water,2030,340.0,Million usd
XY,IND_BOILER,Bio,2030,407.5,Million usd
YZ,IND_BOILER,Bio,2030,407.5,Million usd
XY,IND_BOILER,Gas,2030,495.0,Million usd
YZ,IND_BOILER,Gas,2030,462.0,Million usd
XY,IND_BOILER,Hrdc,2030,343.0,Million usd
YZ,IND_BOILER,Hrdc,2030,343.0,Million usd
XY,IND_BOILER,Oil,2030,157.5,Million usd
YZ,IND_BOILER,Oil,2030,315.0,Million usd
XY,NUCL,Uranium,2030,203.45,Million usd
YZ,OCGT,Gas,2030,69.92,Million usd
XY,OILT,Oil,2030,2.52,Million usd
YZ,OILT,Oil,2030,4.0,Million usd
XY,PHOT,Solar,2030,94.36,Million usd
YZ,PHOT,Solar,2030,54.62,Million usd
XY,RTPV,Solar,2030,5.08,Million usd
YZ,RTPV,Solar,2030,5.07,Million usd
XY,SubC,Hrdc,2030,129.2,Million usd
YZ,SubC,Hrdc,2030,249.6,Million usd
XY,SubC,Lig,2030,91.2,Million usd
YZ,SubC,Lig,2030,97.5,Million usd
